Time,User,Message
19496.0,dbe77a5aa800651887d1becb449e66551dd8d47d,nice man hope me win 491 
19706.0,7f661be4d39c0109df355a16f9241acc4b68cb56,thank you bro :smiling_face_with_smiling_eyes: :smiling_face_with_smiling_eyes: 
19736.0,a9d82d6c3569082f13caf12d9563f8b960f75313,bro i almost use that site for almost a year and it's so legit 
19766.0,c7abad4ac3b57a0d7ce05a36c546af94134a649e,omfg is so work man thank you so much 
19826.0,346c63fcdb9b0e68adf9acc9735d1f6ff3b974d1,i win 2 arcana xd 
19886.0,f9f361b37c230c9dd8958123509962e7c8f52540,sniper :sparkles: 
19916.0,40400b28e67c0c6868c9dd9f461f2de06417cb5d,thanks for info bro i got that first immortal my 
19946.0,7b34e012931e9d17102c7dade136b1090b0609ba,thank you 
20006.0,ee60f215b24cdd97bb9ff0297e134cdc8a98a0eb,i already set public in inventory but still i cant see my match history 
20126.0,ec1e188e833c9a1204e4e77ca1339dbe50979695,it is working right now 
20156.0,ec181e31baf6c3b3e11449a11b61e54c470ed324,error accepting trade offer why 
20276.0,840d0a4088c824c5ac0547abe8a8c2db2a407ae2,bro i almost use that site for almost a year and it's so legit 
20306.0,973eb4ae8ea073d86c7b2b8b6316a72b2ec20c9b,omfg is so work man thank you so much 
20366.0,cb3ba05186f6d9aff713f2c6696d3202fdff2c3f,bro can you give me arcana please 
20426.0,b79a03f70b9b12fc0d26619e5bfd2660f26ad49b,oh my ghad bro it's f*ckn legit ty for that info 
20456.0,835cb812d2e870544cf20a23b1448e22b4cb4197,why only 1 spin siri can't spin now 
20486.0,616fd4c2e59fc3d43b2a922603a059829b16b46c,give me item please 
20576.0,5fe3745defb543f405426bffbbe3530aa519a237,easy arcana coool 
20606.0,5d7fd28ac1290686cc2129ba1d20010f4cf0f438,all work 
20666.0,99bbfbd13b019a26805cc9184ccf1ea3519569b1,oh my ghad bro it's f*ckn legit ty for that info 
20696.0,8a2c25809799c6aaf70393064a0f7ea9ba26f7b3,why only 1 spin siri can't spin now 
20726.0,e112435025a0c4e2bb46b111a9626e787fee3fb3,nice man hope me win 491 
20756.0,ec1e188e833c9a1204e4e77ca1339dbe50979695,it is working right now 
20816.0,2fe5bc83832b96ae9ec2fbf61276b6714653dc2b,you guys should play turbo mode while using this i don't need to explain much you know what i mean 
20906.0,0ffc02f042eaca2e9cd332e3aef41981ac9ee320,it is working right now 
20966.0,f06593aa7648fe54209308a0c2eccf280a3eb3f6,thank you bro :smiling_face_with_smiling_eyes: :smiling_face_with_smiling_eyes: 
21026.0,0ab3bc28e3285992056b038df35cb6ed86c114cd,bro can u help me why i cant withdraw?plzz help me asap 
21056.0,b9c9bba74df9761225dc8fbe5e85b20c19f2703d,you guys should play turbo mode while using this i don't need to explain much you know what i mean 
21116.0,6a05a54b252d3e0896ab8e40ec4e7a389c80b5a8,error accepting trade offer why 
21206.0,5fe3745defb543f405426bffbbe3530aa519a237,easy arcana coool 
21326.0,be5e4b01b07454cf60d801f19d99150970225b8e,dude i can't trade 
21356.0,097818192dff9c92198c04ada0545a51221c2ced,sir buy my item sven gaze of the cyclopean sir plss i want tink immortal :smiling_face_with_smiling_eyes: :smiling_face_with_smiling_eyes: my name brutal09 tnx 
21386.0,85839d02a0783b8acc6d86362332cb3ca4a0f0d6,bro holy that free work ty got cheap but it's ok thnx at least it work i sub already 
21536.0,d9d464bc5ea48f1a09223c84c77f965dcf47e4de,all work 
21566.0,388e3ac5ec32f16f2772ed800c49898d48ef8eb9,sniper :sparkles: 
21596.0,4955ec842a69c52cca585f1367c90c4bfaa82778,sir buy my item sven gaze of the cyclopean sir plss i want tink immortal :smiling_face_with_smiling_eyes: :smiling_face_with_smiling_eyes: my name brutal09 tnx 
21656.0,dbe77a5aa800651887d1becb449e66551dd8d47d,nice man hope me win 491 
21686.0,08f98bcae7582d45faf9828713378a140a0c0bc7,oh my ghad bro it's f*ckn legit ty for that info 
21776.0,153aa3f90aa7ebd44978bef21a2d74ec46c5a8ff,ty man this is really working so much man you are the best 
21836.0,e3334b228e90ca289f01830d988fd0bca4f1a6bc,please give me item sir im newbie :smiling_face: 
21866.0,4598b398fc079d1d8238bb7ba573dc6a524d3f5d,easy arcana coool 
21896.0,1c63d05186ea8bb7c5fcd99284190e11d11b3643,ty man this is really working so much man you are the best 
22046.0,702ec40898feb40b58c3f0c0b5249b971c9b0211,bro holy that free work ty got cheap but it's ok thnx at least it work i sub already 
22106.0,e949849aa4327c84295d2f8313cabbc07da868cf,bro can u help me why i cant withdraw?plzz help me asap 
22136.0,6ff3d250bcf8932b586768a59a8f91ee29c92225,you guys should play turbo mode while using this i don't need to explain much you know what i mean 
22166.0,79869195a7fb19c48ffb51ad9e95b9f844887e2c,omfg is so work man thank you so much 
22256.0,0ebd39459a7d7cd3bcb7dba3ef37683a9ea8e97e,error accepting trade offer why 
22281.0,6b2e95d1ffce8d024894aa29a120dc00c7ce6b88,on the chinese site a free distribution of the leg of a set of skins china-pubg ml/freeskins 
